192.168.0.236 BIEEBIEE_航友_生产集群
192.168.0.253 网络设备监控网络设备监控_航友_生产集群
192.168.150.42 观光巴士实时到站系统VIS观光巴士实时到站系统VIS
192.168.150.17 qtbsjobqtbs-job_电信_生产集群
192.168.150.139 qtbsnjxqtbsnjx_电信_生产集群
192.168.150.140 qtbsnjxqtbsnjx_电信_生产集群
192.168.150.21 qtbsmgrqtbsmgr线上集群
192.168.150.22 qtbsmgrqtbsmgr线上集群
192.168.110.181 bustourbustour_航友_生产集群
192.168.150.135 qtbsmanageqtbs-Mangent_电信_生产集群
192.168.150.136 qtbsmanageqtbs-Mangent_电信_生产集群
10.15.32.82 qtbsmanageqtbs-Managent_预上线集群
192.168.150.126 qtbsmanageqtbs-Mangent_灰度_集群
192.168.150.15 qtbssystemqtbssystem电信节点集群
192.168.150.16 qtbssystemqtbssystem电信节点集群
192.168.150.141 redis-qtbsredis-qtbs_电信_生产集群
192.168.150.142 redis-qtbsredis-qtbs_电信_生产集群
192.168.150.27 qtbsmonitorqtbsmonitor_电信_生产集群
192.168.108.13 FTP_景区SFTP_景区_生产集群
192.168.108.11 SalesManagementSalesManagement_航友_生产集群
192.168.108.16 SalesManagementSalesManagement_航友_生产集群
192.168.108.17 SalesManagementSalesManagement_航友定时_生产集群
192.168.150.40 IntelligentDispatchSystemIntelligentDispatchSystem智能调度系统_电信_生产集群
192.168.150.133 qtbsapiqtbs-api_电信_生产集群
192.168.150.134 qtbsapiqtbs-api_电信_生产集群
192.168.150.121 qtbsapiqtbs-api_电信_生产集群
192.168.150.122 qtbsapiqtbs-api_电信_生产集群
192.168.150.123 qtbsapiqtbs-api_电信_生产集群
192.168.150.124 qtbsapiqtbs-api_电信_生产集群
192.168.150.126 qtbsapiqtbs-api_灰度_集群
192.168.150.137 qtbsportalqtbs-m_电信_生产集群
192.168.150.138 qtbsportalqtbs-m_电信_生产集群
192.168.150.139 nginx-qtbs静态页面nginx-qtbs_电信_生产集群
192.168.150.140 nginx-qtbs静态页面nginx-qtbs_电信_生产集群
192.168.110.160 Tableau_公共机Tableau_公共机_电信_生产集群
192.168.0.143 TableauTableau_航友_生产集群
192.168.110.130 TableauTableau_航友_生产集群
192.168.0.144 TableauTableau_航友_生产集群
192.168.0.145 TableauTableau_航友_生产集群
10.16.32.63 TableauTableau_航友_生产集群
192.168.0.146 etletl_航友_生产集群
192.168.176.72 etletl_联通_生产集群
10.16.39.77 etletl_宝信容灾_生产集群(平时不要启动)
10.16.20.91 AirDataCollectCenterAirDataCollectCenter_电信_生产集群
10.16.20.90 AirDataCollectCenterAirDataCollectCenter_电信_生产集群
10.16.20.118 AirDataCollectCenterAirDataCollectCenter_电信_生产集群
10.16.20.117 AirDataCollectCenterAirDataCollectCenter_电信_生产集群
10.16.20.116 AirDataCollectCenterAirDataCollectCenter_电信_生产集群
10.16.20.115 AirDataCollectCenterAirDataCollectCenter_电信_生产集群
10.16.20.80 FuxiFuxi_航友_生产集群
10.16.20.81 FuxiFuxi_航友_生产集群
10.16.20.77 RosettaRosetta_电信_生产集群
10.16.20.76 RosettaRosetta_电信_生产集群
192.168.190.186 研究院公共机研究院公共机_电信_生产集群
10.16.32.10 研究院公共机研究院公共机_电信_生产集群
192.168.113.108 研究院公共机研究院公共机_电信_生产集群
192.168.113.109 研究院公共机研究院公共机_电信_生产集群
10.16.32.115 kafka-logportalkafka-logportal_宝信_生产集群
10.16.32.116 kafka-logportalkafka-logportal_宝信_生产集群
10.16.32.117 kafka-logportalkafka-logportal_宝信_生产集群
10.16.32.118 kafka-logportalkafka-logportal_宝信_生产集群
10.16.32.119 kafka-logportalkafka-logportal_宝信_生产集群
10.16.32.203 custodiancustodian_宝信_生产集群
10.16.20.20 FOQA_节油分析FOQA-节油分析_生产集群
10.16.20.21 FOQA_节油分析FOQA-节油分析_生产集群
10.16.20.22 FOQA_节油分析FOQA-节油分析_生产集群
10.16.20.23 FOQA_节油分析FOQA-节油分析_生产集群
10.16.20.24 FOQA_节油分析FOQA-节油分析_生产集群
10.16.20.25 FOQA_节油分析FOQA-节油分析_生产集群
10.16.20.27 FOQA_节油分析FOQA-节油分析_生产集群
10.16.20.26 FOQA_节油分析FOQA-节油分析_生产集群
10.16.20.30 FOQA_节油分析FOQA-节油分析_生产集群
10.16.20.31 FOQA_节油分析FOQA-节油分析_生产集群
10.16.20.32 FOQA_节油分析FOQA-节油分析_生产集群
10.16.20.28 FOQA_节油分析FOQA-节油分析_生产集群
10.16.20.29 FOQA_节油分析FOQA-节油分析_生产集群
192.168.110.74 FOQA_节油分析FOQA-节油分析_生产集群
192.168.110.75 FOQA_节油分析FOQA-节油分析_生产集群
10.16.20.42 evs_spiderevs_spider_电信_生产集群
10.16.20.92 AirDataESAirDataES_电信_生产集群
10.16.20.97 AirDataESAirDataES_电信_生产集群
10.16.20.98 AirDataESAirDataES_电信_生产集群
10.16.20.75 MossadMossad_电信_生产集群
10.16.20.69 MossadMossad_电信_生产集群
10.16.20.83 ShennongShennong_电信_生产集群
10.16.20.82 ShennongShennong_电信_生产集群
10.16.20.79 NvwaNvwa_电信_生产集群
10.16.20.78 NvwaNvwa_电信_生产集群
10.16.20.70 bridgebridge_电信_生产集群
10.16.20.72 bridgebridge_电信_生产集群
10.16.20.71 bridgebridge_电信_生产集群
10.16.20.73 bridgebridge_电信_生产集群
10.16.32.137 智能客服智能客服_电信_生产集群
10.16.32.136 智能客服智能客服_电信_生产集群
10.16.32.135 智能客服智能客服_电信_生产集群
10.16.32.134 智能客服智能客服_电信_生产集群
10.16.32.133 智能客服智能客服_电信_生产集群
10.16.32.132 智能客服智能客服_电信_生产集群
10.16.32.131 智能客服智能客服_电信_生产集群
10.16.32.130 智能客服智能客服_电信_生产集群
10.16.32.129 智能客服智能客服_电信_生产集群
10.16.32.128 智能客服智能客服_电信_生产集群
10.16.32.127 智能客服智能客服_电信_生产集群
10.16.32.126 智能客服智能客服_电信_生产集群
10.16.32.125 智能客服智能客服_电信_生产集群
10.16.32.124 智能客服智能客服_电信_生产集群
10.16.32.123 智能客服智能客服_电信_生产集群
10.16.32.122 智能客服智能客服_电信_生产集群
10.16.32.121 智能客服智能客服_电信_生产集群
10.16.32.120 智能客服智能客服_电信_生产集群
10.16.16.40 智能客服智能客服_电信_生产集群
192.168.110.30 研究院_算法服务研究院_算法服务_航友_生产集群
10.16.32.70 routeschedulealg研究院自动编排_电信_生产集群
10.16.32.102 研究院大数据大数据_电信_生产集群
10.16.32.105 研究院大数据大数据_电信_生产集群
10.16.32.108 研究院大数据大数据_电信_生产集群
10.16.32.111 研究院大数据大数据_电信_生产集群
10.16.32.114 研究院大数据大数据_电信_生产集群
10.16.32.82 研究院大数据大数据_电信_生产集群
10.16.32.79 研究院大数据大数据_电信_生产集群
10.16.32.76 研究院大数据大数据_电信_生产集群
10.16.32.73 研究院大数据大数据_电信_生产集群
10.16.32.69 研究院大数据大数据_电信_生产集群
10.16.32.62 研究院大数据大数据_电信_生产集群
10.16.32.59 研究院大数据大数据_电信_生产集群
10.16.32.57 研究院大数据大数据_电信_生产集群
10.16.32.55 研究院大数据大数据_电信_生产集群
10.16.32.51 研究院大数据大数据_电信_生产集群
10.16.32.101 研究院大数据大数据_电信_生产集群
10.16.32.104 研究院大数据大数据_电信_生产集群
10.16.32.107 研究院大数据大数据_电信_生产集群
10.16.32.110 研究院大数据大数据_电信_生产集群
10.16.32.113 研究院大数据大数据_电信_生产集群
10.16.32.83 研究院大数据大数据_电信_生产集群
10.16.32.80 研究院大数据大数据_电信_生产集群
10.16.32.77 研究院大数据大数据_电信_生产集群
10.16.32.74 研究院大数据大数据_电信_生产集群
10.16.32.71 研究院大数据大数据_电信_生产集群
10.16.32.68 研究院大数据大数据_电信_生产集群
10.16.32.60 研究院大数据大数据_电信_生产集群
10.16.32.52 研究院大数据大数据_电信_生产集群
10.16.32.50 研究院大数据大数据_电信_生产集群
10.16.32.53 研究院大数据大数据_电信_生产集群
192.168.186.46 研究院大数据大数据_电信_生产集群
10.16.32.103 研究院大数据大数据_电信_生产集群
10.16.32.106 研究院大数据大数据_电信_生产集群
10.16.32.109 研究院大数据大数据_电信_生产集群
10.16.32.112 研究院大数据大数据_电信_生产集群
10.16.32.100 研究院大数据大数据_电信_生产集群
10.16.32.81 研究院大数据大数据_电信_生产集群
10.16.32.78 研究院大数据大数据_电信_生产集群
10.16.32.75 研究院大数据大数据_电信_生产集群
10.16.32.72 研究院大数据大数据_电信_生产集群
10.16.32.67 研究院大数据大数据_电信_生产集群
10.16.32.61 研究院大数据大数据_电信_生产集群
10.16.32.58 研究院大数据大数据_电信_生产集群
10.16.32.56 研究院大数据大数据_电信_生产集群
10.16.32.54 研究院大数据大数据_电信_生产集群
10.16.41.25 KafkaKafka_logcenter_电信_生产集群
10.16.41.26 KafkaKafka_logcenter_电信_生产集群
10.16.41.27 KafkaKafka_logcenter_电信_生产集群
10.16.32.92 KafkaKafka_logcenter_电信_生产集群
10.16.32.93 KafkaKafka_logcenter_电信_生产集群
10.16.32.94 KafkaKafka_logcenter_电信_生产集群
192.168.186.81 KafkaKafka_logcenter_电信_生产集群
192.168.186.83 KafkaKafka_logcenter_电信_生产集群
192.168.186.84 KafkaKafka_logcenter_电信_生产集群
192.168.186.82 KafkaKafka_logcenter_电信_生产集群
10.16.20.86 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.85 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.87 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.89 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.88 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.100 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.109 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.112 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.106 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.111 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.102 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.114 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.103 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.105 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.107 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.101 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.113 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.104 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.110 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.108 AirDataCollectAirDataCollect_电信_生产集群
10.16.20.67 EtermBridgeClientEtermBridgeClient_航友_生产集群
10.16.20.68 EtermBridgeClientEtermBridgeClient_航友_生产集群
192.168.193.15 研究院数据分析(冯喜欢)_公共机研究院数据分析_公共机_电信_生产集群
192.168.190.137 wmswms_航友电信_生产集群
192.168.190.136 wmswms_航友电信_生产集群
192.168.150.38 springhrspringhr_电信_生产集群
192.168.0.94 hechec_航友_生产集群
192.168.0.93 hechec_航友_生产集群
192.168.0.245 hraphrap_航友_生产集群
192.168.0.137 peoplesoftpeoplesoft_航友_生产集群
192.168.0.136 peoplesoftpeoplesoft_航友_生产集群
192.168.191.84 wmsrptwmsrpt_电信_生产集群
192.168.113.81 fsscnode1-rabbitmqfsscnode1-rabbitmq_航友_生产集群
192.168.113.82 fsscnode1-rabbitmqfsscnode1-rabbitmq_航友_生产集群
192.168.110.184 oa_app-v3oa-app-v3_航友_生产集群
192.168.110.185 oa_app-v3oa-app-v3_航友_生产集群
192.168.0.111 E_learningE_learning_航友_生产集群
192.168.0.96 ERPERP_航友_生产集群
192.168.0.95 ERPERP_航友_生产集群
192.168.0.97 ERPERP_航友_生产集群
192.168.186.30 wmsrfwmsrf_电信_生产集群
192.168.186.31 wmsrfwmsrf_电信_生产集群
192.168.0.21 hr-kaoqinhr-kaoqin_航友_生产集群
192.168.113.83 fsscnode1-redisfsscnode1-redis_航友_生产集群
192.168.113.84 fsscnode1-redisfsscnode1-redis_航友_生产集群
192.168.110.87 varnish-E_learningvarnish_E-learning_航友_生产集群
192.168.110.182 OA_v3OA-v3_航友_电信_生产集群
192.168.110.237 OA_v3OA-v3_航友_电信_生产集群
192.168.190.126 OA_v3OA-v3_航友_电信_生产集群
192.168.110.183 OA_v3OA-v3_航友_电信_生产集群
192.168.110.249 OA_v3OA-v3_航友_电信_生产集群
192.168.111.50 wmsediwmsedi_航友_生产集群
192.168.110.224 wmsediwmsedi110.224
192.168.111.57 EBSEBS线上集群
192.168.111.58 EBSEBS线上集群
192.168.113.51 ecology-redisecology-redis单节点集群
192.168.113.77 fsscnginxfsscnginx_航友_生产集群
192.168.113.78 fsscnginxfsscnginx_航友_生产集群
192.168.191.143 DCSMSGDCSMSG_电信_生产集群
192.168.191.24 dcs-routedcs-route-第二块_电信_生产集群
192.168.191.233 dcs-routedcs-route-第二块_电信_生产集群
192.168.190.213 dcs-routedcs-route-第三块_电信_生产集群
192.168.190.211 dcs-routedcs-route-第三块_电信_生产集群
192.168.191.167 dcs-routedcs-route-第一块_电信_生产集群
192.168.191.232 dcs-routedcs-route-第一块_电信_生产集群
192.168.190.135 LG_interface_serverLG-interface-server_电信_生产集群-手工重启
192.168.190.241 LG_interface_serverLG-interface-server_电信_生产集群-手工重启
192.168.191.102 V8_DCS_SERVER-HND-2318DCS_SERVER-HND-2318(注意备机102程序不启动)
192.168.191.101 V8_DCS_SERVER-HND-2318DCS_SERVER-HND-2318(注意备机102程序不启动)
192.168.186.153 V8_DCS_SERVER-CJU-2312V8_DCS_SERVER_CJU_2312_电信_生产集群（186.153备机勿启动）
192.168.186.152 V8_DCS_SERVER-CJU-2312V8_DCS_SERVER_CJU_2312_电信_生产集群（186.153备机勿启动）
192.168.191.212 V8_DCS_SERVER-CNX-2323(未接优维)DCS_SERVER-CNX-2323_电信_生产集群
192.168.191.213 V8_DCS_SERVER-CNX-2323(未接优维)DCS_SERVER-CNX-2323_电信_生产集群
192.168.191.126 dcs-pnm-serverdcs-pnm-server_电信_生产集群(只启动126,不启动205)
192.168.190.205 dcs-pnm-serverdcs-pnm-server_电信_生产集群(只启动126,不启动205)
192.168.190.191 activeMQ-airportactiveMQ-airport_电信_生产集群
172.17.9.5 dcsWebServicedcsWebService_石家庄_生产集群
172.17.9.6 dcsWebServicedcsWebService_石家庄_生产集群
172.17.9.5 dcs-twn-pre-clientdcs-twn-pre-client_石家庄_生产集群(未接优维)
172.17.9.6 dcs-twn-pre-clientdcs-twn-pre-client_石家庄_生产集群(未接优维)
172.17.9.5 pxylistpxylist_石家庄_生产集群(未接优维)
172.17.9.6 pxylistpxylist_石家庄_生产集群(未接优维)
172.17.9.5 PXY_TEXPXY_TEX_石家庄_生产集群(未接优维)
172.17.9.6 PXY_TEXPXY_TEX_石家庄_生产集群(未接优维)
172.17.34.15 PXY_TEXPXY_TEX_西安_生产集群
172.17.34.16 PXY_TEXPXY_TEX_西安_生产集群
172.17.19.8 dcs-taskdcs-task_浦东_生产集群-手工重启
172.17.19.9 dcs-taskdcs-task_浦东_生产集群-手工重启
172.17.99.5 dcs-taskdcs-task_广元_生产集群-手工重启
172.17.1.5 dcs-taskdcs-task_怀化_生产集群-手工重启
172.17.89.5 dcs-taskdcs-task_安顺_生产集群-手工重启
172.17.60.5 dcs-taskdcs-task_盐城_生产集群-手工重启
172.17.60.6 dcs-taskdcs-task_盐城_生产集群-手工重启
172.17.73.5 dcs-taskdcs-task_揭阳_生产集群-手工重启
172.17.73.6 dcs-taskdcs-task_揭阳_生产集群-手工重启
172.17.72.5 dcs-taskdcs-task_常德_生产集群-手工重启
172.17.70.5 dcs-taskdcs-task_庆阳_生产集群-手工重启
172.17.53.5 dcs-taskdcs-task_南通_生产集群-手工重启
172.17.53.6 dcs-taskdcs-task_南通_生产集群-手工重启
172.17.64.5 dcs-taskdcs-task_太原_生产集群-手工重启
172.17.17.5 dcs-taskdcs-task_厦门_生产集群-手工重启
172.17.17.6 dcs-taskdcs-task_厦门_生产集群-手工重启
172.17.103.5 dcs-taskdcs-task_青岛_生产集群-手工重启
172.17.103.6 dcs-taskdcs-task_青岛_生产集群-手工重启
172.17.105.5 dcs-taskdcs-task_阜阳_生产集群-手工重启
172.17.48.5 dcs-taskdcs-task_黔江_生产集群-手工重启
172.17.37.5 dcs-taskdcs-task_遵义_生产集群-手工重启
172.17.110.5 dcs-taskdcs-task_茅台_生产集群-手工重启
172.17.77.5 dcs-taskdcs-task_长沙_生产集群-手工重启
172.17.25.5 dcs-taskdcs-task_绵阳_生产集群-手工重启
192.168.186.177 dcs-taskdcs-task_首尔_生产集群-手工重启
192.168.186.178 dcs-taskdcs-task_首尔_生产集群-手工重启
172.17.22.5 dcs-taskdcs-task_张家界_生产集群-手工重启
172.17.113.5 dcs-taskdcs-task_克拉玛依_生产集群-手工重启
172.17.113.6 dcs-taskdcs-task_克拉玛依_生产集群-手工重启
172.17.114.5 dcs-taskdcs-task_宜昌_生产集群-手工重启
172.17.101.5 dcs-taskdcs-task_烟台_生产集群-手工重启
172.17.118.5 dcs-taskdcs-task_日照_生产集群-手工重启
172.17.119.5 dcs-taskdcs-task_石河子_生产集群-手工重启
172.17.55.5 dcs-taskdcs-task_满洲里_生产集群-手工重启
172.17.121.5 dcs-taskdcs-task_嘉峪关_生产集群-手工重启
172.17.43.5 dcs-taskdcs-task_通辽_生产集群-手工重启
172.17.43.6 dcs-taskdcs-task_通辽_生产集群-手工重启
172.17.49.5 dcs-taskdcs-task_宁波_生产集群-手工重启
172.17.49.6 dcs-taskdcs-task_宁波_生产集群-手工重启
192.168.190.47 dcs-taskdcs-task_大阪_生产集群-手工重启
192.168.190.48 dcs-taskdcs-task_大阪_生产集群-手工重启
172.17.42.6 dcs-taskdcs-task_武汉_生产集群-手工重启
172.17.42.5 dcs-taskdcs-task_武汉_生产集群-手工重启
172.17.21.5 dcs-taskdcs-task_承德_生产集群-手工重启
172.17.12.5 dcs-taskdcs-task_昆明_生产集群-手工重启
172.17.12.6 dcs-taskdcs-task_昆明_生产集群-手工重启
172.17.82.5 dcs-taskdcs-task_邯郸_生产集群-手工重启
172.17.41.6 dcs-taskdcs-task_南京_生产集群-手工重启
172.17.41.5 dcs-taskdcs-task_南京_生产集群-手工重启
172.17.125.5 dcs-taskdcs-task_赣州_生产集群-手工重启
192.168.187.80 dcs-taskdcs-task_高雄_生产集群-手工重启
192.168.187.81 dcs-taskdcs-task_高雄_生产集群-手工重启
172.17.14.5 dcs-taskdcs-task_长春_生产集群-手工重启 
192.168.187.88 dcs-taskdcs-task_羽田_生产集群-手工重启
192.168.187.89 dcs-taskdcs-task_羽田_生产集群-手工重启
172.17.74.6 dcs-taskdcs-task_张家口_生产集群-手工重启
172.17.74.5 dcs-taskdcs-task_张家口_生产集群-手工重启
172.17.51.6 dcs-taskdcs-task_洛阳_生产集群-手工重启
172.17.51.5 dcs-taskdcs-task_洛阳_生产集群-手工重启
172.17.76.5 dcs-taskdcs-task_武当山_生产集群-手工重启
172.17.98.5 dcs-taskdcs-task_威海_生产集群-手工重启
172.17.36.5 dcs-taskdcs-task_银川_生产集群-手工重启
172.17.65.5 dcs-taskdcs-task_东营_生产集群-手工重启
172.17.35.5 dcs-taskdcs-task_包头_生产集群-手工重启
172.17.92.9 dcs-taskdcs-task_广州_生产集群-手工重启
172.17.92.8 dcs-taskdcs-task_广州_生产集群-手工重启
172.17.8.5 dcs-taskdcs-task_贵阳_生产集群-手工重启
172.17.8.6 dcs-taskdcs-task_贵阳_生产集群-手工重启
172.17.87.5 dcs-taskdcs-task_南阳_生产集群-手工重启
172.17.91.5 dcs-taskdcs-task_邵阳_生产集群-手工重启
172.17.54.5 dcs-taskdcs-task_成都_生成集群-手工重启
172.17.54.6 dcs-taskdcs-task_成都_生成集群-手工重启
172.17.81.5 dcs-taskdcs-task_温州_生产集群-手工重启
172.17.63.5 dcs-taskdcs-task_南昌_生产集群-手工重启
172.17.63.6 dcs-taskdcs-task_南昌_生产集群-手工重启
172.17.20.10 dcs-taskdcs-task_虹桥_生产集群-手工重启
172.17.20.11 dcs-taskdcs-task_虹桥_生产集群-手工重启
172.17.23.5 dcs-taskdcs-task_深圳_生产集群-手工重启
172.17.23.6 dcs-taskdcs-task_深圳_生产集群-手工重启
172.17.24.5 dcs-taskdcs-task_乌鲁木齐_生产集群-手工重启
172.17.83.5 dcs-taskdcs-task_连云港_生产集群-手工重启
172.17.5.5 dcs-taskdcs-task_老v4青岛_生产集群-手工重启
172.17.111.5 dcs-taskdcs-task_宜宾_生产集群-手工重启
172.17.116.5 dcs-taskdcs-task_漠河_生产集群-手工重启
172.17.107.5 dcs-taskdcs-task_喀什_生产集群-手工重启
172.17.107.6 dcs-taskdcs-task_喀什_生产集群-手工重启
172.17.62.5 dcs-taskdcs-task_张掖_生产集群-手工重启
172.17.117.5 dcs-taskdcs-task_榆林_生产集群-手工重启
172.17.85.5 dcs-taskdcs-task_三亚_生产集群-手工重启
172.17.85.6 dcs-taskdcs-task_三亚_生产集群-手工重启
172.17.123.5 dcs-taskdcs-task_舟山_生产集群-手工重启
192.168.186.9 dcs-taskdcs-task_济州_生产集群-手工重启
192.168.186.10 dcs-taskdcs-task_济州_生产集群-手工重启
172.17.6.5 dcs-taskdcs-task_沈阳_生产集群-手工重启 
172.17.6.6 dcs-taskdcs-task_沈阳_生产集群-手工重启 
192.168.186.175 dcs-taskdcs-task_金边_生产集群-手工重启
192.168.186.176 dcs-taskdcs-task_金边_生产集群-手工重启
172.17.7.5 dcs-taskdcs-task_哈尔滨_生产集群-手工重启
172.17.7.6 dcs-taskdcs-task_哈尔滨_生产集群-手工重启
172.17.11.5 dcs-taskdcs-task_重庆_生产集群-手工重启
172.17.11.6 dcs-taskdcs-task_重庆_生产集群-手工重启
172.17.32.5 dcs-taskdcs-task_北海_生产集群-手工重启
172.17.75.6 dcs-taskdcs-task_郑州_生产集群-手工重启
172.17.75.5 dcs-taskdcs-task_郑州_生产集群-手工重启
172.17.124.5 dcs-taskdcs-task_三明_生产集群-手工重启
172.17.126.5 dcs-taskdcs-task_琼海_生产集群-手工重启
172.17.10.5 dcs-taskdcs-task_天津_生产集群-手工重启
192.168.187.87 dcs-taskdcs-task_名古屋_生产集群-手工重启
192.168.187.86 dcs-taskdcs-task_名古屋_生产集群-手工重启
172.17.129.5 dcs-taskdcs-task_文山_生产集群-手工重启
172.17.115.5 dcs-task dcs-task_襄阳_生产集群-手工重启 
172.17.90.5 dcs-taskdcs-task_敦煌_生产集群-手工重启
172.17.69.5 dcs-taskdcs-task_扬州_生产集群-手工重启
172.17.69.6 dcs-taskdcs-task_扬州_生产集群-手工重启
172.17.71.5 dcs-taskdcs-task_恩施_生产集群-手工重启
172.17.39.5 dcs-taskdcs-task_长白山_生产集群-手工重启
172.17.15.5 dcs-taskdcs-task_福州_生产集群-手工重启
172.17.57.5 dcs-taskdcs-task_湛江_生产集群-手工重启
172.17.58.5 dcs-taskdcs-task_珠海_生产集群-手工重启
172.17.13.5 dcs-taskdcs-task_桂林_生产集群-手工重启
172.17.79.5 dcs-taskdcs-task_济南_生产集群-手工重启
172.17.79.6 dcs-taskdcs-task_济南_生产集群-手工重启
172.17.45.6 dcs-taskdcs-task_西双版纳_生产集群-手工重启
172.17.45.5 dcs-taskdcs-task_西双版纳_生产集群-手工重启
172.17.40.5 dcs-taskdcs-task_淮安_生产集群-手工重启
172.17.26.6 dcs-taskdcs-task_泉州_生产集群-手工重启
172.17.26.5 dcs-taskdcs-task_泉州_生产集群-手工重启
172.17.68.5 dcs-taskdcs-task_合肥_生成集群-手工重启
172.17.68.6 dcs-taskdcs-task_合肥_生成集群-手工重启
172.17.104.5 dcs-taskdcs-task_延安_生产集群-手工重启
172.17.104.6 dcs-taskdcs-task_延安_生产集群-手工重启
192.168.186.39 dcs-task dcs-task_澳门_生产集群-手工重启
192.168.186.38 dcs-task dcs-task_澳门_生产集群-手工重启
172.17.9.8 dcs-taskdcs-task_石家庄_生产集群-手工重启
172.17.9.9 dcs-taskdcs-task_石家庄_生产集群-手工重启
172.17.52.5 dcs-taskdcs-task_常州_生产集群-手工重启
172.17.52.6 dcs-taskdcs-task_常州_生产集群-手工重启
172.17.106.5 dcs-taskdcs-task_岳阳_生产集群-手工重启
172.17.106.6 dcs-taskdcs-task_岳阳_生产集群-手工重启
172.17.109.5 dcs-taskdcs-task_临沂_生产集群-手工重启
172.17.108.5 dcs-taskdcs-task_中卫_生产集群-手工重启
172.17.33.5 dcs-taskdcs-task_南宁_生产集群-手工重启
172.17.33.6 dcs-taskdcs-task_南宁_生产集群-手工重启
172.17.27.5 dcs-taskdcs-task_呼和浩特_生产集群-手工重启
172.17.112.5 dcs-taskdcs-task_上饶_生产集群-手工重启
172.17.96.6 dcs-taskdcs-task_井冈山_生产集群-手工重启
172.17.96.5 dcs-taskdcs-task_井冈山_生产集群-手工重启
172.17.120.5 dcs-taskdcs-task_松原_生产集群-手工重启
172.17.122.5 dcs-taskdcs-task_南充_生产集群-手工重启
172.17.29.5 dcs-taskdcs-task_杭州_生产集群-手工重启
172.17.29.7 dcs-taskdcs-task_杭州_生产集群-手工重启
192.168.186.4 dcs-taskdcs-task_曼谷_生产集群-手工重启
192.168.186.5 dcs-taskdcs-task_曼谷_生产集群-手工重启
192.168.190.45 dcs-taskdcs-task_成田_生产集群-手工重启
192.168.190.46 dcs-taskdcs-task_成田_生产集群-手工重启
172.17.34.5 dcs-taskdcs-task_西安_生产集群-手工重启
172.17.34.6 dcs-taskdcs-task_西安_生产集群-手工重启
172.17.2.5 dcs-taskdcs-task_大连_生产集群-手工重启
